Language Code,Translation
sq,Hej! Je gati të shpërndash pak gëzim dhe të bësh punë fantastike? ✨
am,ሰላም ልጅ! ደስታ ማበርበርና ሥራዎችን ማጠናቀቅ ዝግጁ/ዝግጅት ነዎት? ✨
ar,مرحباً! هل أنت مستعد لنشر الفرح وإنجاز المهام؟ ✨
hy,Ողջույն։ Պատրա՞ստ ես տարածել ուրախություն ու անել բաներ ✨
bn,হেলো! তুমি কি আনন্দ ছড়াতে ও কিছু দারুণ কাজ করতে প্রস্তুত? ✨
bs,Ćao! Jesi li spreman/na širiti radost i završiti stvari? ✨
bg,Здравей! Готов/а ли си да разпръснеш радост и да свършиш нещата? ✨
my,ဟယ်လို! ပျော်ရွှင်မှုမျှဝေရန်နဲ့ တကယ်ပြီးမြောက်အောင်လုပ်ဖို့ ပြင်ဆင်ပြီးပြီလား? ✨
ca,Hola! Estàs a punt per repartir alegria i fer que les coses passin? ✨
zh,嗨，你好！准备好传播快乐、完成任务了吗？✨
hr,Bok! Jesi li spreman/na širiti veselje i obaviti stvari? ✨
cs,Ahoj! Jsi připraven/a šířit radost a něco dokončit? ✨
da,Hej! Klar til at sprede glæde og få tingene gjort? ✨
nl,Hoi daar! Ben je klaar om wat vreugde te verspreiden en dingen gedaan te krijgen? ✨
et,Tere! Kas oled valmis levitama rõõmu ja asjad ära tegema? ✨
fi,Moikka! Oletko valmis levittämään iloa ja saamaan asioita aikaan? ✨
fr,Coucou ! Prêt(e) à semer de la joie et passer à l’action ? ✨
ka,გამარჯობა! მზად ხარ სიხარული გაავრცელო და საქმეები მოაგვარო? ✨
de,"Hallo du! Bereit, ein bisschen Freude zu verbreiten und was zu schaffen? ✨"
el,Γεια σου! Είσαι έτοιμος/η να μοιράσεις χαρά και να κάνεις πράγματα; ✨
gu,હાય! શું તમે ખુશી ફેલાવવા અને કામ પૂરું કરવા માટે તૈયાર છો? ✨
hi,हाय! क्या तुम थोड़ी खुशियाँ बाँटने और काम पूरे करने के लिए तैयार हो? ✨
hu,Helló! Készen állsz egy kis örömöt hozni és dolgokat elvégezni? ✨
is,Hæ! Ertu tilbúin/n að dreifa gleði og klára verkefni? ✨
id,Hai! Siap untuk sebarkan kebahagiaan dan selesaikan hal-hal? ✨
it,Ciao! Sei prontə a diffondere un po’ di gioia e portare a termine le cose? ✨
ja,やっほー！ワクワクを広げて、やること片付ける準備できてる？✨
kn,ಹಾಯ್! ನಗು ಹಂಚಲು ಮತ್ತು ಕೆಲಸಗಳನ್ನು ಮುಗಿಸಲು ಸಿದ್ಧವಿದ್ದೀಯಾ? ✨
kk,Сәлем! Қуаныш таратуға және істерді бітіруге дайынсың ба? ✨
ko,안녕! 기쁨을 퍼뜨리고 할 일 끝낼 준비 됐어? ✨
lv,Sveiks! Vai esi gatavs dalīties priekā un paveikt lietas? ✨
lt,Labas! Pasiruošęs skleisti džiaugsmą ir atlikti darbus? ✨
mk,Здраво! Подготвен/а си да шириш радост и да завршиш некои работи? ✨
ms,Hai! Dah bersedia nak sebarkan kegembiraan dan selesaikan kerja? ✨
ml,ഹായ്! സന്തോഷം പകർന്നുകൊണ്ട് കാര്യങ്ങൾ പൂര്‍ത്തിയാക്കാൻ തയാറാണോ? ✨
mr,हाय! आनंद पसरवण्यासाठी आणि काहीतरी कामं पूर्ण करण्यासाठी तयार आहेस का? ✨
mn,"Сайн уу! Жаахан баяр хөөр түгээж, хийх ажлаа амжуулахад бэлэн үү? ✨"
no,Hei! Klar for å spre litt glede og få ting gjort? ✨
fa,سلام! آماده‌ای شادی پخش کنی و کارهات رو انجام بدی؟ ✨
pl,"Cześć! Gotowy/a, żeby szerzyć radość i załatwić sprawy? ✨"
pt,Oi! Prontx para espalhar alegria e fazer acontecer? ✨
pa,ਸਤ ਸ੍ਰੀ ਅਕਾਲ! ਤਿਆਰ ਹੋ ਖੁਸ਼ੀ ਫੈਲਾਉਣ ਅਤੇ ਕੰਮ ਮੁਕੰਮਲ ਕਰਨ ਲਈ? ✨
ro,Salut! Ești gata să răspândești bucurie și să trecem la treabă? ✨
ru,Приветик! Готов(а) распространять радость и сделать что-то крутое? ✨
sr,Ćao! Spreman/na da širiš radost i obaviš stvari? ✨
sk,Ahoj! Si pripravený/á šíriť radosť a niečo urobiť? ✨
sl,Živjo! Si pripravljen/a širiti veselje in opraviti stvari? ✨
so,Salaan! Ma diyaar baad u tahay inaad farxad faafiso oo hawlaha qabato? ✨
es,¡Hola! ¿Listo/a para repartir alegría y lograr cosas geniales? ✨
sw,Hujambo! Uko tayari kusambaza furaha na kukamilisha mambo? ✨
sv,Hej där! Är du redo att sprida glädje och få saker gjorda? ✨
tl,Hiii! Ready ka na bang magkalat ng good vibes at tapusin ang mga gawain? ✨
ta,வணக்கம்! சந்தோஷத்தை பகிர்ந்து சில காரியங்களை முடிக்க தயாரா? ✨
te,హాయ్! ఆనందాన్ని పంచేందుకు మరియు పనులు పూర్తి చేయడానికి సిద్ధంగా ఉన్నావా? ✨
th,สวัสดี! พร้อมจะส่งต่อความสุขและทำสิ่งต่างๆ ให้สำเร็จไหม? ✨
tr,Selam! Neşeni yaymaya ve işleri halletmeye hazır mısın? ✨
uk,Привіт! Готовий/а дарувати радість і діяти? ✨
ur,ہیلو! کیا آپ خوشیاں پھیلانے اور کام مکمل کرنے کے لیے تیار ہیں؟ ✨
vi,Chào bạn! Sẵn sàng lan tỏa niềm vui và hoàn thành mọi việc chưa? ✨
